Date,Total,Coronavirus
2020-03-31T03:20:19-05:00,174139,165
2020-03-31T03:50:26-05:00,174139,165
2020-03-31T04:20:32-05:00,174139,165
2020-03-31T04:50:38-05:00,174139,165
2020-03-31T05:20:44-05:00,174139,165
2020-03-31T05:50:50-05:00,174139,165
2020-03-31T06:20:56-05:00,174139,165
2020-03-31T06:51:02-05:00,174139,165
2020-03-31T07:21:09-05:00,174559,166
2020-03-31T07:51:15-05:00,174559,166
2020-03-31T08:21:21-05:00,174559,166
2020-03-31T08:51:27-05:00,174559,166
2020-03-31T09:21:33-05:00,174559,166
2020-03-31T09:51:39-05:00,174559,166
2020-03-31T10:21:45-05:00,174559,166
2020-03-31T10:51:51-05:00,174559,166
2020-03-31T11:22:03-05:00,175039,167
2020-03-31T11:52:09-05:00,175039,167
2020-03-31T12:22:15-05:00,175039,167
2020-03-31T12:52:21-05:00,175039,167
2020-03-31T13:22:27-05:00,175039,167
2020-03-31T13:52:33-05:00,175039,167
2020-03-31T14:22:39-05:00,175039,167
2020-03-31T14:52:45-05:00,175039,167
2020-03-31T15:22:53-05:00,175524,168
2020-03-31T15:52:59-05:00,175524,168
2020-03-31T16:23:05-05:00,175524,168
2020-03-31T16:53:11-05:00,175524,168
2020-03-31T17:23:19-05:00,175524,168
2020-03-31T17:53:25-05:00,175524,168
2020-03-31T18:23:31-05:00,175524,168
2020-03-31T18:53:37-05:00,175524,168
2020-03-31T19:23:45-05:00,175991,168
2020-03-31T19:53:51-05:00,175991,168
2020-03-31T20:23:57-05:00,175991,168
2020-03-31T20:54:03-05:00,175991,168
2020-03-31T21:24:09-05:00,175991,168
2020-03-31T21:54:15-05:00,175991,168
2020-03-31T22:24:21-05:00,175991,168
2020-03-31T22:54:27-05:00,175991,168
2020-03-31T23:24:35-05:00,176329,171
2020-03-31T23:54:41-05:00,176329,171
2020-04-01T00:24:47-05:00,176329,171
2020-04-01T00:54:53-05:00,176329,171
2020-04-01T01:24:59-05:00,176329,171
2020-04-01T01:55:05-05:00,176329,171
2020-04-01T02:25:11-05:00,,
2020-04-01T02:55:18-05:00,176597,172
2020-04-01T03:25:24-05:00,176597,172
2020-04-01T03:55:30-05:00,176597,172
2020-04-01T04:25:36-05:00,176597,172
2020-04-01T04:55:42-05:00,176597,172
2020-04-01T05:25:48-05:00,176597,172
2020-04-01T05:55:54-05:00,176597,172
2020-04-01T06:26:00-05:00,176597,172
2020-04-01T06:56:07-05:00,176997,171
2020-04-01T07:26:13-05:00,176997,171
2020-04-01T07:56:19-05:00,176997,171
2020-04-01T08:26:25-05:00,176997,171
